batch,Duration (in seconds),01_p_1,01_p_2,01_p_3,02_p_1,02_p_2,02_p_3,03_p_1,03_p_2,03_p_3,04_p_1,04_p_2,04_p_3,05_p_1,05_p_2,05_p_3,06_p_1,06_p_2,06_p_3,07_p_1,07_p_2,07_p_3,08_p_1,08_p_2,08_p_3,09_p_1,09_p_2,09_p_3,10_p_1,10_p_2,10_p_3,11_p_1,11_p_2,11_p_3,12_p_1,12_p_2,12_p_3,13_p_1,13_p_2,13_p_3,14_p_1,14_p_2,14_p_3,15_p_1,15_p_2,15_p_3,16_p_1,16_p_2,16_p_3,17_p_1,17_p_2,17_p_3,18_p_1,18_p_2,18_p_3,19_p_1,19_p_2,19_p_3,20_p_1,20_p_2,20_p_3,21_p_1,21_p_2,21_p_3,22_p_1,22_p_2,22_p_3,23_p_1,23_p_2,23_p_3,24_p_1,24_p_2,24_p_3,25_p_1,25_p_2,25_p_3,26_p_1,26_p_2,26_p_3,27_p_1,27_p_2,27_p_3,28_p_1,28_p_2,28_p_3,29_p_1,29_p_2,29_p_3,30_p_1,30_p_2,30_p_3,31_p_1,31_p_2,31_p_3,32_p_1,32_p_2,32_p_3,33_p_1,33_p_2,33_p_3,34_p_1,34_p_2,34_p_3,35_p_1,35_p_2,35_p_3,36_p_1,36_p_2,36_p_3,37_p_1,37_p_2,37_p_3,38_p_1,38_p_2,38_p_3,39_p_1,39_p_2,39_p_3,40_p_1,40_p_2,40_p_3,41_p_1,41_p_2,41_p_3,42_p_1,42_p_2,42_p_3,43_p_1,43_p_2,43_p_3,44_p_1,44_p_2,44_p_3,45_p_1,45_p_2,45_p_3,46_p_1,46_p_2,46_p_3,47_p_1,47_p_2,47_p_3,48_p_1,48_p_2,48_p_3,49_p_1,49_p_2,49_p_3,50_p_1,50_p_2,50_p_3,34_pv_1,34_pv_2,34_pv_3,40_pv_1,40_pv_2,40_pv_3,35_pv_1,35_pv_2,35_pv_3,04_pv_1,04_pv_2,04_pv_3,43_pv_1,43_pv_2,43_pv_3,44_pv_1,44_pv_2,44_pv_3,02_pv_1,02_pv_2,02_pv_3,25_pv_1,25_pv_2,25_pv_3,01_a_1,01_a_2,01_a_3,02_a_1,02_a_2,02_a_3,03_a_1,03_a_2,03_a_3,04_a_1,04_a_2,04_a_3,05_a_1,05_a_2,05_a_3,06_a_1,06_a_2,06_a_3,07_a_1,07_a_2,07_a_3,08_a_1,08_a_2,08_a_3,09_a_1,09_a_2,09_a_3,10_a_1,10_a_2,10_a_3,11_a_1,11_a_2,11_a_3,12_a_1,12_a_2,12_a_3,13_a_1,13_a_2,13_a_3,14_a_1,14_a_2,14_a_3,15_a_1,15_a_2,15_a_3,16_a_1,16_a_2,16_a_3,17_a_1,17_a_2,17_a_3,18_a_1,18_a_2,18_a_3,19_a_1,19_a_2,19_a_3,20_a_1,20_a_2,20_a_3,21_a_1,21_a_2,21_a_3,22_a_1,22_a_2,22_a_3,23_a_1,23_a_2,23_a_3,24_a_1,24_a_2,24_a_3,25_a_1,25_a_2,25_a_3,26_a_1,26_a_2,26_a_3,27_a_1,27_a_2,27_a_3,28_a_1,28_a_2,28_a_3,29_a_1,29_a_2,29_a_3,30_a_1,30_a_2,30_a_3,31_a_1,31_a_2,31_a_3,32_a_1,32_a_2,32_a_3,33_a_1,33_a_2,33_a_3,34_a_1,34_a_2,34_a_3,35_a_1,35_a_2,35_a_3,36_a_1,36_a_2,36_a_3,37_a_1,37_a_2,37_a_3,38_a_1,38_a_2,38_a_3,39_a_1,39_a_2,39_a_3,40_a_1,40_a_2,40_a_3,41_a_1,41_a_2,41_a_3,42_a_1,42_a_2,42_a_3,43_a_1,43_a_2,43_a_3,44_a_1,44_a_2,44_a_3,45_a_1,45_a_2,45_a_3,46_a_1,46_a_2,46_a_3,47_a_1,47_a_2,47_a_3,48_a_1,48_a_2,48_a_3,49_a_1,49_a_2,49_a_3,50_a_1,50_a_2,50_a_3,06_av_1,06_av_2,06_av_3,26_av_1,26_av_2,26_av_3,01_av_1,01_av_2,01_av_3,39_av_1,39_av_2,39_av_3,50_av_1,50_av_2,50_av_3,28_av_1,28_av_2,28_av_3,05_av_1,05_av_2,05_av_3,33_av_1,33_av_2,33_av_3,Q303,Q1,Q305,Q2,Q3,Q314,Personality_1,Personality_2,Personality_3,Personality_4,Personality_5,Personality_6,Personality_7,Personality_8,Personality_9,Personality_10,Art background_1,Art background_2,Art background_3,Art background_4,Art background_5,Art background_6,Art background_7,Art background 2_1,Art background 2_2,RandomID
guessing 12,1056,5,5,5,7,6,6,3,3,3,2,2,2,1,1,1,3,3,3,3,3,3,4,4,5,6,6,6,3,3,3,4,4,4,4,4,4,2,2,2,3,3,3,4,4,4,8,7,7,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,4,4,4,2,2,2,3,3,3,4,4,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,6,5,5,6,4,4,5,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,2,2,2,3,3,4,4,4,4,7,7,7,2,2,2,7,7,7,7,7,7,4,4,5,2,2,2,2,2,2,4,3,4,3,3,4,5,5,5,6,6,7,3,3,3,4,4,5,6,6,7,3,3,3,3,3,3,3,3,3,7,7,7,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,3,4,4,5,4,4,4,4,4,5,4,4,4,3,3,4,4,4,4,6,6,7,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,5,6,5,5,6,5,5,6,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,7,7,7,4,4,5,1,1,1,2,2,2,2,2,2,4,4,4,35,Male,Asian,Bachelor's degree,Supervisor,None,Disagree a little,Disagree strongly,Agree moderately,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree moderately,Agree moderately,1,1,0,0,0,0,1,Almost never,Almost never,2502
guessing 12,1056,8,6,7,8,3,8,8,2,6,1,1,6,4,2,5,5,7,2,6,5,5,8,6,6,8,7,5,1,3,2,8,8,2,7,6,4,6,3,4,4,2,6,7,5,6,5,6,0,4,6,5,7,3,5,8,5,8,8,8,4,2,3,5,0,4,1,5,3,6,5,7,2,7,3,7,5,2,7,2,3,4,7,4,6,0,0,1,8,5,4,2,5,3,8,6,4,7,5,6,4,2,5,5,3,4,7,3,8,8,8,5,7,6,3,8,7,3,4,7,2,1,3,2,5,4,2,8,8,4,8,5,6,5,3,3,6,5,0,4,4,6,4,1,7,0,2,3,0,1,5,5,4,5,3,6,4,5,3,5,0,1,5,8,8,4,8,7,5,8,3,7,7,4,7,High artistic quality 8,6,4,High artistic quality 8,3,7,6,2,5,Low artistic quality 0,1,7,6,2,6,4,5,3,7,7,5,High artistic quality 8,High artistic quality 8,4,7,5,5,1,1,5,High artistic quality 8,High artistic quality 8,3,7,6,3,5,6,3,4,3,5,7,5,6,7,High artistic quality 8,Low artistic quality 0,3,5,5,6,3,4,7,3,6,High artistic quality 8,High artistic quality 8,4,3,2,5,2,3,3,5,4,7,6,4,3,7,3,7,4,2,7,2,4,6,7,5,High artistic quality 8,Low artistic quality 0,1,3,7,4,5,3,5,4,7,6,4,5,3,5,5,4,4,5,4,4,6,4,7,High artistic quality 8,High artistic quality 8,4,High artistic quality 8,7,3,7,7,4,3,6,3,4,2,3,5,5,3,High artistic quality 8,High artistic quality 8,4,High artistic quality 8,6,5,5,2,6,7,High artistic quality 8,Low artistic quality 0,5,3,5,5,2,6,Low artistic quality 0,1,4,Low artistic quality 0,1,6,4,5,4,4,2,7,High artistic quality 8,7,4,7,7,4,Low artistic quality 0,1,7,7,5,High artistic quality 8,6,2,5,5,3,4,35,Female,White,Bachelor's degree,IT Analyst,n/a,Agree moderately,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,0,1,0,0,0,1,1,Year,Year,1428
guessing 12,1068,4,4,6,2,3,7,6,4,7,5,4,6,7,4,6,3,4,6,3,4,4,7,4,5,5,4,7,6,5,4,4,4,5,3,4,6,5,4,6,2,4,5,5,4,6,3,4,6,2,4,6,1,4,6,6,4,5,3,4,5,6,4,6,4,4,6,5,4,6,2,4,7,5,4,7,4,4,6,5,4,6,1,3,7,6,4,5,1,4,6,1,3,6,2,4,6,6,4,5,5,4,6,3,4,6,6,4,6,4,5,6,1,4,5,3,4,5,2,4,5,3,4,6,6,4,5,5,4,4,6,5,5,6,4,4,5,5,5,6,4,4,5,4,6,1,4,5,2,4,7,4,4,5,2,4,5,2,4,5,5,4,6,4,4,4,5,4,5,2,3,7,5,4,6,5,4,6,7,4,7,5,5,7,6,4,7,6,4,7,4,4,7,4,4,4,6,4,6,5,4,6,4,4,4,4,4,5,4,4,6,4,4,5,4,4,6,5,4,6,5,5,6,6,5,7,6,5,6,4,4,6,4,4,6,4,4,6,4,4,5,5,5,6,4,4,6,5,4,7,5,4,6,5,5,7,4,4,4,4,4,5,5,5,7,5,5,6,6,6,7,4,4,6,4,5,6,5,5,7,6,4,6,4,4,6,4,4,5,5,4,6,4,4,6,5,4,6,6,5,6,4,4,6,5,4,6,4,4,5,6,5,6,5,5,7,4,4,7,4,4,7,5,4,7,3,4,6,5,4,6,4,4,6,4,4,6,3,4,7,3,3,6,5,5,6,3,4,5,48,Female,White,Bachelor's degree,video editor,none,Agree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,0,0,0,0,0,0,0,Year,Year,6172
guessing 12,1091,6,5,5,7,6,7,5,6,6,2,1,2,1,1,2,4,7,6,6,4,5,7,7,6,5,4,3,3,2,1,5,6,7,8,8,6,2,1,2,4,5,3,2,3,2,5,5,5,4,4,3,6,7,6,2,5,5,2,1,3,6,5,7,1,2,2,4,3,3,4,3,2,7,6,8,2,4,4,7,7,6,3,2,2,3,2,2,4,5,4,5,5,5,6,7,7,6,6,6,3,3,3,6,6,7,4,4,3,7,7,8,8,6,7,7,7,6,5,4,3,2,3,3,7,7,6,5,5,3,4,4,6,7,7,6,4,4,3,3,3,3,2,3,3,2,2,2,1,2,3,1,2,2,4,4,4,6,6,5,2,1,2,5,3,4,3,2,3,7,6,5,6,5,6,4,3,4,7,6,5,6,5,5,2,2,3,3,2,2,3,2,3,4,4,4,7,6,6,7,6,5,1,2,2,5,6,5,6,6,5,1,2,2,3,2,3,3,3,4,6,6,6,4,4,5,6,6,7,2,1,1,5,5,6,2,3,2,2,1,3,2,1,2,2,3,3,6,7,6,3,3,2,7,7,6,4,2,3,2,2,3,4,6,4,7,7,5,7,6,6,3,2,2,3,2,2,5,5,6,3,3,2,7,6,7,7,7,7,6,7,6,4,5,4,4,5,5,6,6,6,4,4,3,3,2,3,6,4,5,4,5,4,4,4,4,2,2,3,4,4,4,1,1,1,1,2,2,2,2,2,5,4,5,6,5,6,Low artistic quality 0,1,1,1,1,2,1,1,3,3,3,3,35,Male,White,High School,Cook,,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,0,0,0,0,0,0,0,Year,Year,4876
guessing 12,1095,6,6,7,4,4,4,5,5,6,5,5,6,1,4,4,5,4,5,4,3,4,6,6,6,7,6,7,1,3,4,7,5,5,6,5,6,4,5,4,4,4,4,4,4,6,7,6,5,6,4,6,6,5,6,3,3,4,4,4,3,3,4,5,6,6,6,4,5,7,2,4,3,3,4,4,1,5,7,4,6,4,6,4,4,2,4,4,5,4,5,6,4,4,5,6,8,4,5,6,5,4,5,3,5,7,5,5,5,8,6,5,7,5,7,8,7,5,6,4,6,5,4,5,7,6,5,8,6,6,5,6,5,0,4,4,6,6,5,6,6,5,3,4,3,3,4,4,1,4,5,5,4,4,6,4,6,6,4,4,4,4,4,8,7,5,5,5,5,4,3,4,4,6,4,6,6,7,4,4,4,4,5,4,4,4,4,2,3,4,5,4,5,5,5,4,6,4,5,6,5,6,3,4,4,6,6,7,7,7,6,3,5,4,5,4,6,5,4,5,7,6,6,4,4,5,6,4,5,5,4,4,4,4,5,4,4,5,6,5,5,5,5,4,4,5,5,4,5,4,4,4,6,5,4,5,4,6,5,3,4,5,6,7,7,6,7,5,High artistic quality 8,High artistic quality 8,High artistic quality 8,5,4,5,5,6,5,High artistic quality 8,7,7,5,3,5,High artistic quality 8,7,5,7,7,6,7,7,7,5,4,4,6,6,5,6,6,6,7,6,7,5,4,5,1,4,4,7,5,5,6,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,3,4,6,7,6,7,6,7,2,4,3,4,6,4,2,2,3,3,4,3,33,Male,White,Bachelor's degree,Coder,NA,Disagree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,2,2,1,0,0,1,1,2 months,2 months,1581
guessing 12,1096,6,6,7,2,1,5,3,4,6,0,0,0,0,0,0,2,2,3,2,4,5,4,2,3,6,6,7,1,2,4,2,4,1,7,5,6,1,2,1,2,1,4,1,3,3,1,7,3,2,4,4,7,6,7,3,2,5,3,5,5,3,3,4,1,1,3,4,5,6,5,5,6,1,2,4,0,0,0,5,4,5,1,1,2,1,1,3,6,4,6,6,7,5,6,6,6,2,2,3,2,2,4,6,6,6,2,3,4,3,6,3,7,5,5,6,5,6,5,5,4,7,5,7,5,6,3,2,3,1,3,3,5,0,0,0,1,6,4,4,4,5,0,2,4,0,0,4,2,1,5,1,2,4,6,6,4,7,7,7,0,0,1,3,3,2,3,5,5,2,1,4,1,2,2,High artistic quality 8,High artistic quality 8,High artistic quality 8,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,4,5,7,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,2,3,5,5,6,2,2,1,High artistic quality 8,High artistic quality 8,High artistic quality 8,3,1,4,5,5,3,High artistic quality 8,High artistic quality 8,High artistic quality 8,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,1,3,2,2,2,High artistic quality 8,,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,3,3,6,2,2,1,5,3,6,1,1,1,5,5,7,5,4,6,1,1,3,2,2,4,6,6,7,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,High artistic quality 8,High artistic quality 8,7,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,High artistic quality 8,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,2,3,High artistic quality 8,High artistic quality 8,High artistic quality 8,6,6,6,High artistic quality 8,High artistic quality 8,High artistic quality 8,6,5,6,7,7,4,7,7,7,High artistic quality 8,High artistic quality 8,High artistic quality 8,7,7,High artistic quality 8,4,4,3,5,5,4,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,5,7,7,7,7,High artistic quality 8,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,3,3,4,2,2,3,2,2,5,High artistic quality 8,7,High artistic quality 8,7,7,6,2,2,5,1,1,1,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,2,3,39,Male,White,High School,Electrician,None,Disagree moderately,Disagree strongly,Agree moderately,Disagree moderately,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,0,0,0,0,0,0,0,Almost never,Almost never,3096
guessing 12,1107,5,4,4,3,3,3,6,5,4,4,4,4,3,3,5,4,3,4,5,4,4,8,5,5,6,4,4,1,3,3,6,4,4,6,5,4,4,3,5,2,2,4,4,4,4,6,5,5,3,5,4,6,5,6,1,3,3,4,4,5,4,4,4,5,4,4,7,5,4,5,4,4,4,4,4,3,3,5,5,4,5,4,4,5,4,3,4,6,5,5,5,5,6,6,5,5,4,4,5,4,4,4,8,5,6,5,4,4,8,5,6,6,5,5,7,5,5,7,5,6,7,5,6,4,5,3,6,4,4,6,5,5,1,3,3,7,5,4,6,5,5,4,5,5,4,4,5,3,3,5,4,4,5,7,5,6,8,6,7,4,4,4,7,4,5,7,5,5,2,4,3,4,4,4,3,3,3,1,3,3,6,4,4,3,3,4,4,4,4,4,4,4,3,4,4,High artistic quality 8,6,6,6,5,6,1,2,2,6,4,5,High artistic quality 8,5,6,2,4,4,1,3,3,4,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,3,4,4,4,4,5,6,5,4,5,4,4,4,4,4,4,4,4,6,4,4,4,4,4,2,4,4,5,4,5,5,5,5,7,5,6,3,4,5,4,4,4,High artistic quality 8,5,7,3,4,4,6,5,5,4,4,4,6,4,5,7,6,6,High artistic quality 8,6,7,5,4,5,6,5,6,7,5,5,1,2,3,5,5,4,6,4,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,4,3,4,4,7,5,5,1,3,3,4,4,4,3,4,4,3,4,4,30,Male,White,High School,Technician,Myopia corrected through glasses,Disagree a little,Disagree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree moderately,1,1,0,0,2,0,3,Almost never,Almost never,4917
guessing 12,1111,5,5,6,4,4,6,4,4,5,4,3,6,4,3,5,5,4,5,5,4,5,5,5,6,5,5,6,4,3,5,4,5,5,6,5,6,4,3,5,5,4,6,5,4,6,1,3,0,5,4,6,5,5,6,5,3,5,5,5,5,5,4,6,5,5,6,3,4,3,5,5,6,4,3,6,5,5,5,5,4,5,5,4,5,4,3,5,6,6,6,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,6,5,5,6,5,4,5,5,5,5,5,5,6,1,4,0,5,5,5,5,5,6,4,5,3,0,4,0,1,4,1,4,4,6,4,3,5,4,3,6,5,4,5,5,5,5,5,5,5,4,3,5,5,5,6,5,5,5,4,3,5,4,4,5,6,5,6,5,3,5,5,4,5,5,3,6,5,4,5,5,3,6,5,4,5,5,5,5,6,6,6,4,4,6,5,5,5,5,5,5,5,3,6,5,4,5,6,5,6,1,4,Low artistic quality 0,6,5,6,6,6,6,5,3,5,5,5,6,5,3,5,6,5,6,3,3,3,5,4,5,5,3,6,5,3,6,6,6,6,5,3,5,5,4,5,6,6,6,5,5,5,5,5,5,6,5,6,5,4,5,6,6,6,5,5,6,6,6,6,5,5,6,5,5,5,5,5,6,6,5,6,1,4,1,5,5,5,6,6,6,4,3,5,1,4,Low artistic quality 0,1,4,1,5,3,5,5,5,5,5,3,6,5,3,5,5,3,6,5,5,5,5,5,5,4,3,5,5,3,6,5,4,5,5,3,5,69,Male,Asian,Master's degree,buyer,none,Disagree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree a little,Disagree a little,0,1,1,0,0,0,0,Year,Almost never,5446
guessing 12,1119,5,4,6,0,1,4,0,4,3,0,0,0,0,0,0,2,6,6,1,3,1,5,6,6,4,7,7,0,0,0,5,2,6,4,4,6,2,5,5,0,2,1,0,4,4,7,5,6,0,6,8,4,5,7,0,0,3,5,4,5,3,6,6,0,5,4,2,6,6,1,1,4,0,0,0,1,2,3,5,4,4,1,1,2,1,4,1,2,4,4,1,4,4,3,5,7,1,4,7,1,4,4,4,4,5,0,1,4,7,5,6,1,1,1,4,3,5,0,4,4,0,0,0,1,1,2,4,4,4,5,4,4,0,3,1,4,1,1,0,4,4,0,0,0,1,4,8,0,0,0,0,2,1,0,2,4,4,2,6,0,2,1,4,3,3,5,4,2,0,0,0,0,1,0,5,4,6,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,1,1,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,2,3,1,3,5,5,3,4,5,2,4,Low artistic quality 0,Low artistic quality 0,1,5,4,4,4,5,5,1,3,4,Low artistic quality 0,1,4,Low artistic quality 0,1,1,High artistic quality 8,5,6,1,2,6,1,2,4,Low artistic quality 0,1,1,2,3,6,Low artistic quality 0,1,2,Low artistic quality 0,1,3,1,3,3,2,5,7,Low artistic quality 0,1,3,Low artistic quality 0,1,1,2,4,4,Low artistic quality 0,2,2,Low artistic quality 0,Low artistic quality 0,1,4,4,3,2,4,4,3,4,6,1,1,3,Low artistic quality 0,2,4,6,4,5,Low artistic quality 0,1,1,2,4,6,4,2,5,5,4,4,3,4,6,Low artistic quality 0,1,3,1,4,4,4,4,6,4,3,4,1,2,Low artistic quality 0,6,4,6,Low artistic quality 0,2,3,Low artistic quality 0,1,1,Low artistic quality 0,4,3,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,2,4,Low artistic quality 0,1,1,4,3,5,4,4,5,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,1,3,,Low artistic quality 0,Low artistic quality 0,Low artistic quality 0,1,2,38,Male,White,High School,Video Editor,None,Disagree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,Agree strongly,Agree moderately,0,0,0,0,0,0,0,Year,Year,5485
guessing 12,1137,6,7,6,4,5,6,3,3,5,3,5,5,6,5,5,5,6,5,4,5,5,6,6,6,7,6,6,4,6,6,5,5,4,6,5,5,5,6,5,4,5,4,5,4,5,7,6,7,6,7,7,5,5,5,3,3,4,4,5,5,4,5,4,5,7,4,6,5,5,2,2,2,5,5,5,4,4,4,3,4,3,5,5,5,4,6,6,4,4,5,4,4,3,6,6,6,6,6,7,6,7,6,4,5,5,7,5,5,5,6,5,6,6,7,6,6,7,5,5,6,5,5,5,6,6,5,7,6,6,3,5,4,5,4,5,7,7,5,7,4,5,6,6,6,3,3,4,4,5,6,6,5,6,6,5,5,4,6,5,5,5,6,6,7,6,5,5,7,6,7,6,5,5,6,5,5,5,5,5,6,5,7,5,5,6,5,6,5,6,7,5,5,6,6,5,6,6,6,5,5,5,6,7,6,5,5,6,6,5,6,7,6,6,5,6,5,5,5,5,5,5,5,6,6,6,6,5,6,4,5,5,5,6,4,5,6,5,5,6,6,5,6,6,4,6,5,6,6,6,5,5,5,4,5,4,5,6,5,5,5,5,4,5,6,5,6,6,6,6,6,5,6,6,5,5,6,4,5,5,5,6,5,5,5,5,5,5,7,7,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,6,6,5,5,6,5,5,5,6,5,6,5,6,6,7,6,6,6,6,6,4,5,6,5,5,6,4,5,6,6,5,6,6,6,5,6,6,6,6,5,5,31,Male,Asian,Bachelor's degree,analyst,,Agree strongly,Disagree strongly,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,3,2,1,0,3,4,1,6 months,6 months,7301
