"","average"
"1",35.2
"2",44.6
"3",35
"4",24.2
"5",40.6
"6",29.8
"7",28.4
"8",43
"9",30.2
"10",26.4
"11",32.8
"12",34.4
"13",25.4
"14",28.8
"15",33.2
"16",29
"17",30.8
"18",28.6
"19",33
"20",38
"21",44.6
"22",32
"23",37.8
"24",41.8
"25",34
"26",47
"27",21.6
"28",28.6
"29",28.6
"30",19.2
"31",35
"32",25.4
"33",29
"34",38.4
"35",23
"36",19
"37",28.4
"38",23.6
"39",40
"40",37.6
"41",32
"42",27.2
"43",22.8
"44",30
"45",30
"46",30
"47",37.4
"48",45.2
"49",45.4
"50",42
"51",28.8
"52",44.8
"53",28.8
"54",26.8
"55",48.6
"56",22
"57",37
"58",49.4
"59",61
"60",27.6
"61",39
"62",29.6
"63",25.8
"64",23.4
"65",41
"66",33
"67",38.2
"68",29.2
"69",48.4
"70",35
"71",33
"72",34
"73",53.4
"74",39.8
"75",26.4
"76",41
"77",24
"78",30.8
"79",29.2
"80",28.6
"81",31.4
"82",26.4
"83",28.2
"84",29
"85",39.8
"86",35.2
"87",36.6
"88",20.8
"89",44.4
"90",31.8
"91",25.2
"92",31
"93",38.2
"94",49.2
"95",32.4
"96",33
"97",35.8
"98",35.2
"99",37.2
"100",27.2
